yep,affirmative-responses
correct,affirmative-responses
right,affirmative-responses
exactly,affirmative-responses
yes,affirmative-responses
you are right,affirmative-responses
Ok,affirmative-responses
yea,affirmative-responses
nevermind,Cancel
i changed my mind,Cancel
cancel the request,Cancel
i don't want a table anymore anymore,Cancel
forget it,Cancel
cancel that,Cancel
never mind,Cancel
cs,department
Information science,department
Computer Science,department
Is dept,department
my dept is cs,department
Is,department
Probability theory,First1year
oop,First1year
object oriented programming,First1year
programming for beginners,First1year
English,First1year
Physics,First1year
Introduction for Computer Science,First1year
Probability distribution,First1year
Discrete mathematics,First1year
human Rights,First1year
Calculus,First1year
Information System,First1year
Information technology,First1year
hr,First1year
Good evening,General_Greetings
Good day,General_Greetings
hiya,General_Greetings
yo,General_Greetings
How are things going?,General_Greetings
How are you today?,General_Greetings
hi,General_Greetings
How r u?,General_Greetings
Looking good eve,General_Greetings
Hey you,General_Greetings
How is it going?,General_Greetings
You there,General_Greetings
Who is this?,General_Greetings
Hello I am looking for some help here,General_Greetings
Hello Agent,General_Greetings
Have you been well?,General_Greetings
Greetings,General_Greetings
Good to see you,General_Greetings
Good morning,General_Greetings
Hey twin,General_Greetings
Hi advisor,General_Greetings
Ok take me back,General_Greetings
Hey there,General_Greetings
Hey there all,General_Greetings
Hey how are you doing,General_Greetings
Hello,General_Greetings
What's up?,General_Greetings
How have you been?,General_Greetings
What's new?,General_Greetings
Hi there,General_Greetings
so long,Goodbye
arrivederci,Goodbye
good bye,Goodbye
see ya,Goodbye
bye,Goodbye
ciao,Goodbye
three,grade
third,grade
first grade,grade
second grade,grade
third grade,grade
fourth grade,grade
fourth,grade
help,Help
what can i say,Help
can you help,Help
can you assist me,Help
help me decide,Help
help me,Help
what can i do,Help
i need assistance,Help
what is your subject,Study
i want study,Study
i need subjcets,Study
search for information,Study
i want study third year second term cs department,Study
lec,Study
lecture,Study
I want lecture,Study
where is matrile,Study
sections,Study
study,Study
architecture,subject2
Communication,subject2
Data base,subject2
Data structure,subject2
database,subject2
Electronics,subject2
ethics,subject2
linear algebra,subject2
Operating Systems 1,subject2
Operating Systems one,subject2
probability 2,subject2
Graphics,subject2
probability and statistics,subject2
web design,subject2
web programming,subject2
design algorithm,subject3
ai,subject3
Software Engineering,subject3
Logic Programming,subject3
Computer Networks,subject3
assembly,subject3
first,term
second,term
1,term
2,term
thanks,Thanks
i appreciate it,Thanks
thx,Thanks
thank you very much,Thanks
that's nice of you,Thanks
many thanks,Thanks
much appreciated,Thanks
thank you,Thanks
