CS_Subject,algorithm
CS_Subject,assembly
CS_Subject,logic
CS_Subject,network
CS_Subject,design
depts,CS
depts,Information technology
depts,information science
depts,Computer Science
depts,IS
depts,IT
First1year,technology
First1year,Introduction for Computer Science
First1year,Information System
First1year,human Rights
First1year,English
First1year,Calculus
First1year,object oriented programming
First1year,oop
First1year,Physics
First1year,Probability distribution
First1year,programming for beginners
First1year,Probability theory
IS_Subject
second_year,Operating Systems 1
second_year,Graphics
second_year,linear algebra
second_year,ethics
second_year,Electronics
second_year,web design
second_year,Data structure
second_year,Data base
second_year,Communication
second_year,probability
second_year,architecture
term,second
term,1
term,2
term,first
year
